CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F989,F991,F992,F993,F994,F995,
,,,,,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households,
115662,E00056855,E00056855,Output Areas and Small Areas,OASA,106,47,50,8,1,0,
115663,E00056856,E00056856,Output Areas and Small Areas,OASA,110,43,46,17,2,2,
115664,E00056858,E00056858,Output Areas and Small Areas,OASA,104,23,66,14,1,0,
115665,E00056859,E00056859,Output Areas and Small Areas,OASA,100,61,29,10,0,0,
115666,E00056861,E00056861,Output Areas and Small Areas,OASA,121,30,59,23,8,1,
115667,E00056862,E00056862,Output Areas and Small Areas,OASA,194,48,109,32,4,1,
115668,E00056863,E00056863,Output Areas and Small Areas,OASA,121,38,53,25,5,0,
115669,E00056864,E00056864,Output Areas and Small Areas,OASA,132,25,63,37,6,1,
115670,E00056865,E00056865,Output Areas and Small Areas,OASA,131,33,59,32,6,1,
115671,E00056866,E00056866,Output Areas and Small Areas,OASA,122,18,66,34,3,1,
115672,E00056867,E00056867,Output Areas and Small Areas,OASA,118,22,52,36,7,1,
115673,E00056868,E00056868,Output Areas and Small Areas,OASA,133,28,71,22,11,1,
115674,E00056869,E00056869,Output Areas and Small Areas,OASA,133,28,63,34,6,2,
115675,E00056871,E00056871,Output Areas and Small Areas,OASA,103,52,39,11,0,1,
115676,E00056873,E00056873,Output Areas and Small Areas,OASA,122,16,59,41,5,1,
115677,E00056874,E00056874,Output Areas and Small Areas,OASA,220,109,92,17,1,1,
115678,E00056875,E00056875,Output Areas and Small Areas,OASA,117,62,46,9,0,0,
115679,E00056876,E00056876,Output Areas and Small Areas,OASA,237,149,79,7,2,0,
115680,E00056877,E00056877,Output Areas and Small Areas,OASA,112,37,46,20,5,4,
115681,E00056878,E00056878,Output Areas and Small Areas,OASA,121,26,58,30,6,1,
115682,E00056879,E00056879,Output Areas and Small Areas,OASA,123,48,57,16,1,1,
115683,E00056880,E00056880,Output Areas and Small Areas,OASA,120,46,49,23,2,0,
115684,E00056881,E00056881,Output Areas and Small Areas,OASA,109,74,33,2,0,0,
115685,E00056882,E00056882,Output Areas and Small Areas,OASA,150,53,82,12,2,1,
115686,E00056883,E00056883,Output Areas and Small Areas,OASA,175,129,40,6,0,0,
115687,E00056884,E00056884,Output Areas and Small Areas,OASA,142,45,65,30,1,1,
115688,E00056885,E00056885,Output Areas and Small Areas,OASA,108,57,40,10,1,0,
115689,E00056886,E00056886,Output Areas and Small Areas,OASA,101,78,21,2,0,0,
115690,E00056887,E00056887,Output Areas and Small Areas,OASA,157,12,67,62,14,2,
115691,E00056888,E00056888,Output Areas and Small Areas,OASA,119,70,43,5,0,1,
115692,E00056889,E00056889,Output Areas and Small Areas,OASA,144,81,51,6,3,3,
115693,E00056890,E00056890,Output Areas and Small Areas,OASA,123,20,60,36,7,0,
115694,E00056891,E00056891,Output Areas and Small Areas,OASA,102,55,41,5,1,0,
115695,E00056892,E00056892,Output Areas and Small Areas,OASA,111,62,40,8,1,0,
115696,E00056893,E00056893,Output Areas and Small Areas,OASA,149,76,59,12,2,0,
115697,E00056894,E00056894,Output Areas and Small Areas,OASA,157,72,59,17,3,6,
115698,E00056895,E00056895,Output Areas and Small Areas,OASA,116,66,43,6,1,0,
115699,E00056897,E00056897,Output Areas and Small Areas,OASA,99,44,49,5,0,1,
115700,E00056898,E00056898,Output Areas and Small Areas,OASA,123,54,55,13,1,0,
115701,E00056899,E00056899,Output Areas and Small Areas,OASA,143,78,53,12,0,0,
115702,E00056900,E00056900,Output Areas and Small Areas,OASA,106,70,27,6,2,1,
115703,E00056901,E00056901,Output Areas and Small Areas,OASA,132,92,31,8,1,0,
115704,E00056902,E00056902,Output Areas and Small Areas,OASA,129,92,36,1,0,0,
115705,E00056903,E00056903,Output Areas and Small Areas,OASA,179,89,59,21,7,3,
115706,E00056904,E00056904,Output Areas and Small Areas,OASA,97,19,51,21,2,4,
115707,E00056905,E00056905,Output Areas and Small Areas,OASA,128,43,62,21,0,2,
115708,E00056906,E00056906,Output Areas and Small Areas,OASA,154,95,40,13,6,0,
115709,E00056907,E00056907,Output Areas and Small Areas,OASA,126,77,35,12,2,0,
115710,E00056908,E00056908,Output Areas and Small Areas,OASA,101,51,40,9,0,1,
115711,E00056909,E00056909,Output Areas and Small Areas,OASA,163,27,90,44,1,1,
115712,E00056910,E00056910,Output Areas and Small Areas,OASA,107,60,37,10,0,0,
115713,E00056911,E00056911,Output Areas and Small Areas,OASA,107,56,41,10,0,0,
115714,E00056912,E00056912,Output Areas and Small Areas,OASA,132,35,66,24,6,1,
115715,E00056913,E00056913,Output Areas and Small Areas,OASA,135,18,57,47,12,1,
115716,E00056914,E00056914,Output Areas and Small Areas,OASA,131,27,72,30,2,0,
115717,E00056915,E00056915,Output Areas and Small Areas,OASA,123,8,53,52,9,1,
115718,E00056916,E00056916,Output Areas and Small Areas,OASA,98,65,25,6,1,1,
115719,E00056917,E00056917,Output Areas and Small Areas,OASA,125,13,66,41,4,1,
115720,E00056918,E00056918,Output Areas and Small Areas,OASA,136,7,61,54,12,2,
115721,E00056919,E00056919,Output Areas and Small Areas,OASA,120,15,65,31,7,2,
115722,E00056920,E00056920,Output Areas and Small Areas,OASA,144,19,63,57,5,0,
115723,E00056921,E00056921,Output Areas and Small Areas,OASA,135,9,52,53,17,4,
115724,E00056922,E00056922,Output Areas and Small Areas,OASA,124,22,52,39,7,4,
115725,E00056923,E00056923,Output Areas and Small Areas,OASA,127,17,58,40,11,1,
115726,E00056924,E00056924,Output Areas and Small Areas,OASA,128,28,57,35,7,1,
115727,E00056925,E00056925,Output Areas and Small Areas,OASA,123,33,63,24,3,0,
115728,E00056926,E00056926,Output Areas and Small Areas,OASA,118,56,50,12,0,0,
115729,E00056927,E00056927,Output Areas and Small Areas,OASA,162,19,73,55,14,1,
115730,E00056928,E00056928,Output Areas and Small Areas,OASA,122,16,61,35,8,2,
115731,E00056929,E00056929,Output Areas and Small Areas,OASA,135,12,68,41,11,3,
115732,E00056930,E00056930,Output Areas and Small Areas,OASA,123,54,53,13,3,0,
115733,E00056931,E00056931,Output Areas and Small Areas,OASA,122,6,56,46,10,4,
115734,E00056932,E00056932,Output Areas and Small Areas,OASA,121,9,55,47,7,3,
115735,E00056933,E00056933,Output Areas and Small Areas,OASA,125,21,67,27,6,4,
115736,E00056934,E00056934,Output Areas and Small Areas,OASA,112,22,56,29,4,1,
115737,E00056935,E00056935,Output Areas and Small Areas,OASA,101,27,43,30,1,0,
115738,E00056936,E00056936,Output Areas and Small Areas,OASA,119,26,49,35,7,2,
115739,E00056937,E00056937,Output Areas and Small Areas,OASA,82,52,24,5,1,0,
115740,E00056938,E00056938,Output Areas and Small Areas,OASA,126,33,59,25,7,2,
115741,E00056939,E00056939,Output Areas and Small Areas,OASA,143,15,80,37,7,4,
115742,E00056940,E00056940,Output Areas and Small Areas,OASA,125,21,55,42,7,0,
115743,E00056941,E00056941,Output Areas and Small Areas,OASA,156,28,65,53,9,1,
115744,E00056942,E00056942,Output Areas and Small Areas,OASA,136,8,56,59,11,2,
115745,E00056943,E00056943,Output Areas and Small Areas,OASA,133,12,52,58,8,3,
115746,E00056944,E00056944,Output Areas and Small Areas,OASA,121,15,61,37,6,2,
115747,E00056945,E00056945,Output Areas and Small Areas,OASA,112,25,62,21,3,1,
115748,E00056946,E00056946,Output Areas and Small Areas,OASA,147,19,61,52,11,4,
115749,E00056947,E00056947,Output Areas and Small Areas,OASA,133,12,46,60,12,3,
115750,E00056948,E00056948,Output Areas and Small Areas,OASA,129,9,37,66,13,4,
