CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Dependent children : With dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households,Dependent children : No dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households
30323,E01011384,Leeds 017B,Lower Super Output Areas and Data Zones,LSOADZ,25,142
30324,E01011385,Leeds 016C,Lower Super Output Areas and Data Zones,LSOADZ,19,109
30325,E01011386,Leeds 016D,Lower Super Output Areas and Data Zones,LSOADZ,18,116
30326,E01011388,Leeds 019B,Lower Super Output Areas and Data Zones,LSOADZ,20,162
30327,E01011390,Leeds 087A,Lower Super Output Areas and Data Zones,LSOADZ,33,152
30328,E01011391,Leeds 087B,Lower Super Output Areas and Data Zones,LSOADZ,32,214
30329,E01011392,Leeds 087C,Lower Super Output Areas and Data Zones,LSOADZ,21,174
30330,E01011393,Leeds 103C,Lower Super Output Areas and Data Zones,LSOADZ,34,164
30331,E01011394,Leeds 103D,Lower Super Output Areas and Data Zones,LSOADZ,23,108
30332,E01011395,Leeds 103E,Lower Super Output Areas and Data Zones,LSOADZ,27,68
30333,E01011396,Leeds 074A,Lower Super Output Areas and Data Zones,LSOADZ,29,180
30334,E01011397,Leeds 077A,Lower Super Output Areas and Data Zones,LSOADZ,23,117
30335,E01011398,Leeds 077B,Lower Super Output Areas and Data Zones,LSOADZ,18,66
30336,E01011399,Leeds 074B,Lower Super Output Areas and Data Zones,LSOADZ,38,126
30337,E01011400,Leeds 074C,Lower Super Output Areas and Data Zones,LSOADZ,24,130
30338,E01011401,Leeds 077C,Lower Super Output Areas and Data Zones,LSOADZ,22,99
30339,E01011402,Leeds 087D,Lower Super Output Areas and Data Zones,LSOADZ,26,200
30340,E01011403,Leeds 074D,Lower Super Output Areas and Data Zones,LSOADZ,14,177
30341,E01011404,Leeds 077D,Lower Super Output Areas and Data Zones,LSOADZ,21,98
30342,E01011405,Leeds 077E,Lower Super Output Areas and Data Zones,LSOADZ,22,164
30343,E01011406,Leeds 057A,Lower Super Output Areas and Data Zones,LSOADZ,20,129
30344,E01011407,Leeds 057B,Lower Super Output Areas and Data Zones,LSOADZ,23,151
30345,E01011408,Leeds 057C,Lower Super Output Areas and Data Zones,LSOADZ,25,245
30346,E01011409,Leeds 057D,Lower Super Output Areas and Data Zones,LSOADZ,20,138
30347,E01011410,Leeds 057E,Lower Super Output Areas and Data Zones,LSOADZ,18,149
30348,E01011411,Leeds 073A,Lower Super Output Areas and Data Zones,LSOADZ,23,129
30349,E01011412,Leeds 057F,Lower Super Output Areas and Data Zones,LSOADZ,18,150
30350,E01011413,Leeds 069A,Lower Super Output Areas and Data Zones,LSOADZ,27,100
30351,E01011414,Leeds 073B,Lower Super Output Areas and Data Zones,LSOADZ,18,101
30352,E01011415,Leeds 069B,Lower Super Output Areas and Data Zones,LSOADZ,27,132
30353,E01011416,Leeds 069C,Lower Super Output Areas and Data Zones,LSOADZ,23,116
30354,E01011417,Leeds 069D,Lower Super Output Areas and Data Zones,LSOADZ,25,185
30355,E01011418,Leeds 073C,Lower Super Output Areas and Data Zones,LSOADZ,24,97
30356,E01011419,Leeds 073D,Lower Super Output Areas and Data Zones,LSOADZ,18,82
30357,E01011420,Leeds 069E,Lower Super Output Areas and Data Zones,LSOADZ,14,181
30358,E01011421,Leeds 040A,Lower Super Output Areas and Data Zones,LSOADZ,39,174
30359,E01011422,Leeds 048A,Lower Super Output Areas and Data Zones,LSOADZ,40,66
30360,E01011423,Leeds 047A,Lower Super Output Areas and Data Zones,LSOADZ,41,132
30361,E01011424,Leeds 047B,Lower Super Output Areas and Data Zones,LSOADZ,52,79
30362,E01011425,Leeds 040B,Lower Super Output Areas and Data Zones,LSOADZ,25,115
30363,E01011426,Leeds 048B,Lower Super Output Areas and Data Zones,LSOADZ,59,90
30364,E01011427,Leeds 047C,Lower Super Output Areas and Data Zones,LSOADZ,73,99
30365,E01011428,Leeds 048C,Lower Super Output Areas and Data Zones,LSOADZ,48,98
30366,E01011429,Leeds 048D,Lower Super Output Areas and Data Zones,LSOADZ,60,152
30367,E01011430,Leeds 053A,Lower Super Output Areas and Data Zones,LSOADZ,36,60
30368,E01011431,Leeds 047D,Lower Super Output Areas and Data Zones,LSOADZ,60,192
30369,E01011432,Leeds 053B,Lower Super Output Areas and Data Zones,LSOADZ,41,78
30370,E01011433,Leeds 053C,Lower Super Output Areas and Data Zones,LSOADZ,43,107
30371,E01011434,Leeds 053D,Lower Super Output Areas and Data Zones,LSOADZ,38,88
30372,E01011435,Leeds 044A,Lower Super Output Areas and Data Zones,LSOADZ,2,63
30373,E01011440,Leeds 044D,Lower Super Output Areas and Data Zones,LSOADZ,6,101
30374,E01011441,Leeds 044E,Lower Super Output Areas and Data Zones,LSOADZ,13,87
30375,E01011442,Leeds 110A,Lower Super Output Areas and Data Zones,LSOADZ,4,69
30376,E01011443,Leeds 110B,Lower Super Output Areas and Data Zones,LSOADZ,3,63
30377,E01011444,Leeds 110C,Lower Super Output Areas and Data Zones,LSOADZ,9,77
30378,E01011445,Leeds 054A,Lower Super Output Areas and Data Zones,LSOADZ,4,36
30379,E01011446,Leeds 054B,Lower Super Output Areas and Data Zones,LSOADZ,8,56
30380,E01011447,Leeds 054C,Lower Super Output Areas and Data Zones,LSOADZ,11,53
30381,E01011448,Leeds 054D,Lower Super Output Areas and Data Zones,LSOADZ,16,82
30382,E01011449,Leeds 054E,Lower Super Output Areas and Data Zones,LSOADZ,13,99
30383,E01011450,Leeds 038D,Lower Super Output Areas and Data Zones,LSOADZ,25,124
30384,E01011451,Leeds 110D,Lower Super Output Areas and Data Zones,LSOADZ,4,77
30385,E01011452,Leeds 027A,Lower Super Output Areas and Data Zones,LSOADZ,13,84
30386,E01011453,Leeds 028A,Lower Super Output Areas and Data Zones,LSOADZ,14,123
30387,E01011454,Leeds 027B,Lower Super Output Areas and Data Zones,LSOADZ,14,87
30388,E01011455,Leeds 021A,Lower Super Output Areas and Data Zones,LSOADZ,14,85
30389,E01011456,Leeds 021B,Lower Super Output Areas and Data Zones,LSOADZ,19,122
30390,E01011457,Leeds 027C,Lower Super Output Areas and Data Zones,LSOADZ,19,93
30391,E01011458,Leeds 027D,Lower Super Output Areas and Data Zones,LSOADZ,17,88
