CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households
30332,E01011395,Leeds 103E,Lower Super Output Areas and Data Zones,LSOADZ,464,47,172,200,35,10
30333,E01011396,Leeds 074A,Lower Super Output Areas and Data Zones,LSOADZ,800,215,373,180,24,8
30334,E01011397,Leeds 077A,Lower Super Output Areas and Data Zones,LSOADZ,602,101,279,175,36,11
30335,E01011398,Leeds 077B,Lower Super Output Areas and Data Zones,LSOADZ,498,47,221,184,34,12
30336,E01011399,Leeds 074B,Lower Super Output Areas and Data Zones,LSOADZ,623,132,301,154,33,3
30337,E01011400,Leeds 074C,Lower Super Output Areas and Data Zones,LSOADZ,597,134,290,138,30,5
30338,E01011401,Leeds 077C,Lower Super Output Areas and Data Zones,LSOADZ,601,72,302,182,31,14
30339,E01011402,Leeds 087D,Lower Super Output Areas and Data Zones,LSOADZ,813,174,370,213,35,21
30340,E01011403,Leeds 074D,Lower Super Output Areas and Data Zones,LSOADZ,613,156,255,170,25,7
30341,E01011404,Leeds 077D,Lower Super Output Areas and Data Zones,LSOADZ,522,59,250,170,35,8
30342,E01011405,Leeds 077E,Lower Super Output Areas and Data Zones,LSOADZ,627,98,279,203,32,15
30343,E01011406,Leeds 057A,Lower Super Output Areas and Data Zones,LSOADZ,590,120,280,149,30,11
30344,E01011407,Leeds 057B,Lower Super Output Areas and Data Zones,LSOADZ,653,187,307,130,24,5
30345,E01011408,Leeds 057C,Lower Super Output Areas and Data Zones,LSOADZ,735,224,359,129,16,7
30346,E01011409,Leeds 057D,Lower Super Output Areas and Data Zones,LSOADZ,635,184,273,141,28,9
30347,E01011410,Leeds 057E,Lower Super Output Areas and Data Zones,LSOADZ,616,114,324,144,27,7
30348,E01011411,Leeds 073A,Lower Super Output Areas and Data Zones,LSOADZ,665,82,319,222,35,7
30349,E01011412,Leeds 057F,Lower Super Output Areas and Data Zones,LSOADZ,624,129,315,158,20,2
30350,E01011413,Leeds 069A,Lower Super Output Areas and Data Zones,LSOADZ,584,81,270,184,39,10
30351,E01011414,Leeds 073B,Lower Super Output Areas and Data Zones,LSOADZ,623,108,299,179,32,5
30352,E01011415,Leeds 069B,Lower Super Output Areas and Data Zones,LSOADZ,718,181,337,171,22,7
30353,E01011416,Leeds 069C,Lower Super Output Areas and Data Zones,LSOADZ,606,123,267,163,47,6
30354,E01011417,Leeds 069D,Lower Super Output Areas and Data Zones,LSOADZ,724,217,347,135,22,3
30355,E01011418,Leeds 073C,Lower Super Output Areas and Data Zones,LSOADZ,612,90,285,200,29,8
30356,E01011419,Leeds 073D,Lower Super Output Areas and Data Zones,LSOADZ,496,33,213,196,39,15
30357,E01011420,Leeds 069E,Lower Super Output Areas and Data Zones,LSOADZ,624,115,317,153,28,11
30358,E01011421,Leeds 040A,Lower Super Output Areas and Data Zones,LSOADZ,607,223,270,98,14,2
30359,E01011422,Leeds 048A,Lower Super Output Areas and Data Zones,LSOADZ,495,234,182,61,18,0
30360,E01011423,Leeds 047A,Lower Super Output Areas and Data Zones,LSOADZ,607,254,253,80,12,8
30361,E01011424,Leeds 047B,Lower Super Output Areas and Data Zones,LSOADZ,516,194,221,86,9,6
30362,E01011425,Leeds 040B,Lower Super Output Areas and Data Zones,LSOADZ,606,120,306,141,33,6
30363,E01011426,Leeds 048B,Lower Super Output Areas and Data Zones,LSOADZ,493,263,171,49,10,0
30364,E01011427,Leeds 047C,Lower Super Output Areas and Data Zones,LSOADZ,563,305,198,53,4,3
30365,E01011428,Leeds 048C,Lower Super Output Areas and Data Zones,LSOADZ,601,314,233,41,8,5
30366,E01011429,Leeds 048D,Lower Super Output Areas and Data Zones,LSOADZ,693,414,220,48,10,1
30367,E01011430,Leeds 053A,Lower Super Output Areas and Data Zones,LSOADZ,451,221,177,48,5,0
30368,E01011431,Leeds 047D,Lower Super Output Areas and Data Zones,LSOADZ,769,454,270,39,5,1
30369,E01011432,Leeds 053B,Lower Super Output Areas and Data Zones,LSOADZ,571,324,202,35,6,4
30370,E01011433,Leeds 053C,Lower Super Output Areas and Data Zones,LSOADZ,668,423,204,39,2,0
30371,E01011434,Leeds 053D,Lower Super Output Areas and Data Zones,LSOADZ,612,381,201,25,5,0
